site;behaviour;category;complexity;presence;ref
Issa-Ugalla;cave_use;thermoregulation;0;0;Stewart and Pruetz 2013 Do Chimpanzee Nests Serve an Anti?Predatory Function? American Journal of Primatology 75: 593-604 
Issa-Ugalla;ground_nest;ground protection;0;0;"\Piel et al., 2015 Population Status of Chimpanzees in the Masito-Ugalla Ecosystem, Tanzania American Journal of Primatology 77: 1027-1035\"""""
Issa-Ugalla;honey_aerial_with_tool;honey;1;0;"\Moore 2013 Genetic Investigation of an Unhabituated, Savanna-Woodland Chimpanzee (Pan troglodytes schweinfurthii) Population in Ugalla, Western Tanzania PhD Thesis: The University of Texas at San Antonio\"""""
Issa-Ugalla;honey_aerial_with_toolset;honey;2;0;
Issa-Ugalla;honey_eating_without_tools;honey;0;0;
Issa-Ugalla;leaf_clipping;communication;1;0;
Issa-Ugalla;leaf_cushion;ground protection;0;0;
Issa-Ugalla;leaf_sponge;water;1;0;
Issa-Ugalla;marrow_pick;vertebrates;1;0;
Issa-Ugalla;nut_cracking;nut;2;0;
Issa-Ugalla;stone_throwing;communication;1;0;
Issa-Ugalla;termite_eating_without_tools;termite;0;0;
Issa-Ugalla;termite_fishing_with_tool;termite;1;1;
Issa-Ugalla;underground_perforation_with_toolset;perforate honey/termites;2;0;
Issa-Ugalla;water_dipping;water;1;0;
Kabogo;accumulative_stone_throwing;communication;2;0;PanAf Data
Kabogo;algae_fishing_with_tool;algae;1;0;"\ Izawa and Itani 1966. Chimpanzees in Kasakati Basin, Tanganyika: I. Ecological Study in the Rainy Season 1963-1964 pp. 73-156 In: Kyoto University African Studies Vol. 1 (Ed.) K. Imanishi. Kyoto University: Kyoto, Japan\"""""
Kabogo;ant_dipping_with_tool;ant;1;0;
Kabogo;ant_eating_without_tools;ant;0;0;
Kabogo;ant_fishing_with_tool;ant;1;0;
Kabogo;cave_use;thermoregulation;0;0;
Kabogo;ground_nest;ground protection;0;1;
Kabogo;honey_aerial_with_tool;honey;1;0;
Kabogo;honey_aerial_with_toolset;honey;2;0;
Kabogo;honey_eating_without_tools;honey;0;0;
Kabogo;leaf_clipping;communication;1;0;
Kabogo;leaf_cushion;ground protection;0;0;
Kabogo;leaf_sponge;water;1;0;
Kabogo;marrow_pick;vertebrates;1;0;
Kabogo;nut_cracking;nut;2;0;
Kabogo;stone_throwing;communication;1;0;
Kabogo;termite_eating_without_tools;termite;0;0;
Kabogo;termite_fishing_with_tool;termite;1;0;
Kabogo;underground_perforation_with_toolset;perforate honey/termites;2;0;
Kabogo;water_dipping;water;1;0;
Kayan;accumulative_stone_throwing;communication;2;0;K?hl et al. 2016 Chimpanzee Accumulative Stone Throwing Scientific Reports 6: 22219
Kayan;algae_fishing_with_tool;algae;1;0;
Kayan;ant_dipping_with_tool;ant;1;0;
Kayan;ant_eating_without_tools;ant;0;0;
Kayan;ant_fishing_with_tool;ant;1;0;
Kayan;cave_use;thermoregulation;0;0;
Kayan;ground_nest;ground protection;0;0;
Kayan;honey_aerial_with_tool;honey;1;0;
Kayan;honey_aerial_with_toolset;honey;2;0;
Kayan;honey_eating_without_tools;honey;0;0;
Kayan;leaf_clipping;communication;1;0;
Kayan;leaf_cushion;ground protection;0;0;
Kayan;leaf_sponge;water;1;0;
Kayan;marrow_pick;vertebrates;1;0;
Kayan;nut_cracking;nut;2;0;
Kayan;stone_throwing;communication;1;0;
Kayan;termite_eating_without_tools;termite;0;0;
Kayan;termite_fishing_with_tool;termite;1;1;
Kayan;underground_perforation_with_toolset;perforate honey/termites;2;0;
Kayan;water_dipping;water;1;0;
Korup;accumulative_stone_throwing;communication;2;0;PanAf Data
Korup;algae_fishing_with_tool;algae;1;0;
Korup;ant_dipping_with_tool;ant;1;0;
Korup;ant_eating_without_tools;ant;0;0;
Korup;ant_fishing_with_tool;ant;1;1;
Korup;cave_use;thermoregulation;0;0;
Korup;ground_nest;ground protection;0;0;
Korup;honey_aerial_with_tool;honey;1;0;
Korup;honey_aerial_with_toolset;honey;2;0;
Korup;honey_eating_without_tools;honey;0;0;
Korup;leaf_clipping;communication;1;0;
Korup;leaf_cushion;ground protection;0;1;
Korup;leaf_sponge;water;1;0;
Korup;marrow_pick;vertebrates;1;0;
Korup;nut_cracking;nut;2;0;
Korup;stone_throwing;communication;1;0;
Korup;termite_eating_without_tools;termite;0;0;
Korup;termite_fishing_with_tool;termite;1;1;
Korup;underground_perforation_with_toolset;perforate honey/termites;2;1;
Korup;water_dipping;water;1;0;
LaBelgique;accumulative_stone_throwing;communication;2;0;PanAf Data
LaBelgique;algae_fishing_with_tool;algae;1;0;Deblauwe 2006 New Evidence of Honey-Stick Use by Chimpanzees in Southeast Cameroon. Pan African News 13: 2-4
LaBelgique;ant_dipping_with_tool;ant;1;0;Deblauwe 2009 Temporal Variation in Insect-eating by Chimpanzees and Gorillas in Southeast Cameroon: Extension of Niche Differentiation International Journal of Primatology 30: 229-252
LaBelgique;ant_eating_without_tools;ant;0;1;
LaBelgique;ant_fishing_with_tool;ant;1;0;
LaBelgique;cave_use;thermoregulation;0;0;
LaBelgique;ground_nest;ground protection;0;1;
LaBelgique;honey_aerial_with_tool;honey;1;1;
LaBelgique;honey_aerial_with_toolset;honey;2;1;
LaBelgique;honey_eating_without_tools;honey;0;1;
LaBelgique;leaf_clipping;communication;1;0;
LaBelgique;leaf_cushion;ground protection;0;0;
LaBelgique;leaf_sponge;water;1;0;
LaBelgique;marrow_pick;vertebrates;1;0;
LaBelgique;nut_cracking;nut;2;0;
LaBelgique;stone_throwing;communication;1;0;
LaBelgique;termite_eating_without_tools;termite;0;0;
LaBelgique;termite_fishing_with_tool;termite;1;1;
LaBelgique;underground_perforation_with_toolset;perforate honey/termites;2;1;
LaBelgique;water_dipping;water;1;0;
Loango;accumulative_stone_throwing;communication;2;0;PanAf data
Loango;algae_fishing_with_tool;algae;1;0;"\Boesch 2012 Wild Cultures: A Comparison between Chimpanzee and Human Cultures. Cambridge University Press: Cambridge, UK.\"""""
Loango;ant_dipping_with_tool;ant;1;0;"\Boesch et al. 2009 Complex Tool Sets for Honey Extraction among Chimpanzees in Loango National Park, Gabon Journal of Human Evolution 56: 560-569\"""""
Loango;ant_eating_without_tools;ant;0;1;
Loango;ant_fishing_with_tool;ant;1;0;
Loango;cave_use;thermoregulation;0;0;
Loango;ground_nest;ground protection;0;0;
Loango;honey_aerial_with_tool;honey;1;1;
Loango;honey_aerial_with_toolset;honey;2;1;
Loango;honey_eating_without_tools;honey;0;1;
Loango;leaf_clipping;communication;1;0;
Loango;leaf_cushion;ground protection;0;0;
Loango;leaf_sponge;water;1;1;
Loango;marrow_pick;vertebrates;1;0;
Loango;nut_cracking;nut;2;0;
Loango;stone_throwing;communication;1;0;
Loango;termite_eating_without_tools;termite;0;1;
Loango;termite_fishing_with_tool;termite;1;0;
Loango;underground_perforation_with_toolset;perforate honey/termites;2;1;
Loango;water_dipping;water;1;0;
Lope;accumulative_stone_throwing;communication;2;0;
Lope;algae_fishing_with_tool;algae;1;0;
Lope;ant_dipping_with_tool;ant;1;0;
Lope;ant_eating_without_tools;ant;0;1;
Lope;ant_fishing_with_tool;ant;1;1;
Lope;cave_use;thermoregulation;0;0;
Lope;ground_nest;ground protection;0;0;
Lope;honey_aerial_with_tool;honey;1;1;
Lope;honey_aerial_with_toolset;honey;2;1;
Lope;honey_eating_without_tools;honey;0;0;
Lope;leaf_clipping;communication;1;0;
Lope;leaf_cushion;ground protection;0;0;
Lope;leaf_sponge;water;1;1;
Lope;marrow_pick;vertebrates;1;0;
Lope;nut_cracking;nut;2;0;
Lope;stone_throwing;communication;1;0;
Lope;termite_eating_without_tools;termite;0;0;
Lope;termite_fishing_with_tool;termite;1;0;
Lope;underground_perforation_with_toolset;perforate honey/termites;2;0;
Lope;water_dipping;water;1;0;
Mbe;accumulative_stone_throwing;communication;2;0;PanAf Data
Mbe;algae_fishing_with_tool;algae;1;0;
Mbe;ant_dipping_with_tool;ant;1;0;
Mbe;ant_eating_without_tools;ant;0;0;
Mbe;ant_fishing_with_tool;ant;1;0;
Mbe;cave_use;thermoregulation;0;0;
Mbe;ground_nest;ground protection;0;0;
Mbe;honey_aerial_with_tool;honey;1;0;
Mbe;honey_aerial_with_toolset;honey;2;0;
Mbe;honey_eating_without_tools;honey;0;0;
Mbe;leaf_clipping;communication;1;0;
Mbe;leaf_cushion;ground protection;0;0;
Mbe;leaf_sponge;water;1;0;
Mbe;marrow_pick;vertebrates;1;0;
Mbe;nut_cracking;nut;2;0;
Mbe;stone_throwing;communication;1;0;
Mbe;termite_eating_without_tools;termite;0;0;
Mbe;termite_fishing_with_tool;termite;1;0;
Mbe;underground_perforation_with_toolset;perforate honey/termites;2;0;
Mbe;water_dipping;water;1;0;
MtCameroon;accumulative_stone_throwing;communication;2;0;
MtCameroon;algae_fishing_with_tool;algae;1;0;
MtCameroon;ant_dipping_with_tool;ant;1;0;
MtCameroon;ant_eating_without_tools;ant;0;0;
MtCameroon;ant_fishing_with_tool;ant;1;0;
MtCameroon;cave_use;thermoregulation;0;0;
MtCameroon;ground_nest;ground protection;0;0;
MtCameroon;honey_aerial_with_tool;honey;1;0;
MtCameroon;honey_aerial_with_toolset;honey;2;0;
MtCameroon;honey_eating_without_tools;honey;0;0;
MtCameroon;leaf_clipping;communication;1;0;
MtCameroon;leaf_cushion;ground protection;0;0;
MtCameroon;leaf_sponge;water;1;0;
MtCameroon;marrow_pick;vertebrates;1;0;
MtCameroon;nut_cracking;nut;2;0;
MtCameroon;stone_throwing;communication;1;0;
MtCameroon;termite_eating_without_tools;termite;0;0;
MtCameroon;termite_fishing_with_tool;termite;1;1;
MtCameroon;underground_perforation_with_toolset;perforate honey/termites;2;0;
MtCameroon;water_dipping;water;1;0;
MtCristal;accumulative_stone_throwing;communication;2;0;PanAf Data
MtCristal;algae_fishing_with_tool;algae;1;0;
MtCristal;ant_dipping_with_tool;ant;1;0;
MtCristal;ant_eating_without_tools;ant;0;0;
MtCristal;ant_fishing_with_tool;ant;1;0;
MtCristal;cave_use;thermoregulation;0;0;
MtCristal;ground_nest;ground protection;0;0;
MtCristal;honey_aerial_with_tool;honey;1;0;
MtCristal;honey_aerial_with_toolset;honey;2;0;
MtCristal;honey_eating_without_tools;honey;0;0;
MtCristal;leaf_clipping;communication;1;0;
MtCristal;leaf_cushion;ground protection;0;0;
MtCristal;leaf_sponge;water;1;0;
MtCristal;marrow_pick;vertebrates;1;0;
MtCristal;nut_cracking;nut;2;0;
MtCristal;stone_throwing;communication;1;0;
MtCristal;termite_eating_without_tools;termite;0;0;
MtCristal;termite_fishing_with_tool;termite;1;1;
MtCristal;underground_perforation_with_toolset;perforate honey/termites;2;1;
MtCristal;water_dipping;water;1;0;
MtSangbe;accumulative_stone_throwing;communication;2;0;
MtSangbe;algae_fishing_with_tool;algae;1;0;
MtSangbe;ant_dipping_with_tool;ant;1;0;
MtSangbe;ant_eating_without_tools;ant;0;0;
MtSangbe;ant_fishing_with_tool;ant;1;0;
MtSangbe;cave_use;thermoregulation;0;0;
MtSangbe;ground_nest;ground protection;0;0;
MtSangbe;honey_aerial_with_tool;honey;1;0;
MtSangbe;honey_aerial_with_toolset;honey;2;0;
MtSangbe;honey_eating_without_tools;honey;0;0;
MtSangbe;leaf_clipping;communication;1;0;
MtSangbe;leaf_cushion;ground protection;0;0;
MtSangbe;leaf_sponge;water;1;0;
MtSangbe;marrow_pick;vertebrates;1;0;
MtSangbe;nut_cracking;nut;2;0;
MtSangbe;stone_throwing;communication;1;0;
MtSangbe;termite_eating_without_tools;termite;0;0;
MtSangbe;termite_fishing_with_tool;termite;1;0;
MtSangbe;underground_perforation_with_toolset;perforate honey/termites;2;0;
MtSangbe;water_dipping;water;1;0;
Ngogo;accumulative_stone_throwing;communication;2;0;PanAf Data
Ngogo;algae_fishing_with_tool;algae;1;0;"\Boesch 2012 Wild Cultures: A Comparison between Chimpanzee and Human Cultures. Cambridge University Press: Cambridge, UK.\"""""
Ngogo;ant_dipping_with_tool;ant;1;0;
Ngogo;ant_eating_without_tools;ant;0;0;
Ngogo;ant_fishing_with_tool;ant;1;0;"\Watts 2008 Tool Use by Chimpanzees at Ngogo, Kibale National Park, Uganda International Journal of Primatology 29: 83-94\"""""
Ngogo;cave_use;thermoregulation;0;0;Mitani and Watts 2001 Why do Chimpanzees Hunt and Share Meat Animal Behaviour 61: 915-924
Ngogo;ground_nest;ground protection;0;0;Langergraber et al. 2011 Genetic and 'Cultural' Similarity in Wild Chimpanzees Proceedings of the Royal Society B 278: 408-416
Ngogo;honey_aerial_with_tool;honey;1;1;
Ngogo;honey_aerial_with_toolset;honey;2;0;Whiten et al. 2001 Charting Cultural Variation in Chimpanzees Behaviour 138: 1481-1516
Ngogo;honey_eating_without_tools;honey;0;1;
Ngogo;leaf_clipping;communication;1;1;
Ngogo;leaf_cushion;ground protection;0;0;
Ngogo;leaf_sponge;water;1;1;
Ngogo;marrow_pick;vertebrates;1;0;
Ngogo;nut_cracking;nut;2;0;
Ngogo;stone_throwing;communication;1;1;
Ngogo;termite_eating_without_tools;termite;0;0;
Ngogo;termite_fishing_with_tool;termite;1;1;
Ngogo;underground_perforation_with_toolset;perforate honey/termites;2;0;
Ngogo;water_dipping;water;1;1;
Nyungwe;accumulative_stone_throwing;communication;2;0;PanAf Data
Nyungwe;algae_fishing_with_tool;algae;1;0;
Nyungwe;ant_dipping_with_tool;ant;1;0;
Nyungwe;ant_eating_without_tools;ant;0;0;
Nyungwe;ant_fishing_with_tool;ant;1;0;
Nyungwe;cave_use;thermoregulation;0;0;
Nyungwe;ground_nest;ground protection;0;0;
Nyungwe;honey_aerial_with_tool;honey;1;1;
Nyungwe;honey_aerial_with_toolset;honey;2;0;
Nyungwe;honey_eating_without_tools;honey;0;0;
Nyungwe;leaf_clipping;communication;1;0;
Nyungwe;leaf_cushion;ground protection;0;0;
Nyungwe;leaf_sponge;water;1;0;
Nyungwe;marrow_pick;vertebrates;1;0;
Nyungwe;nut_cracking;nut;2;0;
Nyungwe;stone_throwing;communication;1;0;
Nyungwe;termite_eating_without_tools;termite;0;0;
Nyungwe;termite_fishing_with_tool;termite;1;0;
Nyungwe;underground_perforation_with_toolset;perforate honey/termites;2;0;
Nyungwe;water_dipping;water;1;0;
Rubi-Tele;accumulative_stone_throwing;communication;2;0;PanAf Data
Rubi-Tele;algae_fishing_with_tool;algae;1;0;
Rubi-Tele;ant_dipping_with_tool;ant;1;1;
Rubi-Tele;ant_eating_without_tools;ant;0;0;
Rubi-Tele;ant_fishing_with_tool;ant;1;1;
Rubi-Tele;cave_use;thermoregulation;0;0;
Rubi-Tele;ground_nest;ground protection;0;0;
Rubi-Tele;honey_aerial_with_tool;honey;1;0;
Rubi-Tele;honey_aerial_with_toolset;honey;2;0;
Rubi-Tele;honey_eating_without_tools;honey;0;0;
Rubi-Tele;leaf_clipping;communication;1;0;
Rubi-Tele;leaf_cushion;ground protection;0;0;
Rubi-Tele;leaf_sponge;water;1;0;
Rubi-Tele;marrow_pick;vertebrates;1;0;
Rubi-Tele;nut_cracking;nut;2;0;
Rubi-Tele;stone_throwing;communication;1;0;
Rubi-Tele;termite_eating_without_tools;termite;0;0;
Rubi-Tele;termite_fishing_with_tool;termite;1;0;
Rubi-Tele;underground_perforation_with_toolset;perforate honey/termites;2;0;
Rubi-Tele;water_dipping;water;1;0;
Sangaredi;accumulative_stone_throwing;communication;2;1;PanAf Data
Sangaredi;algae_fishing_with_tool;algae;1;1;
Sangaredi;ant_dipping_with_tool;ant;1;1;
Sangaredi;ant_eating_without_tools;ant;0;0;
Sangaredi;ant_fishing_with_tool;ant;1;0;
Sangaredi;cave_use;thermoregulation;0;0;
Sangaredi;ground_nest;ground protection;0;1;
Sangaredi;honey_aerial_with_tool;honey;1;0;
Sangaredi;honey_aerial_with_toolset;honey;2;0;
Sangaredi;honey_eating_without_tools;honey;0;0;
Sangaredi;leaf_clipping;communication;1;0;
Sangaredi;leaf_cushion;ground protection;0;0;
Sangaredi;leaf_sponge;water;1;0;
Sangaredi;marrow_pick;vertebrates;1;0;
Sangaredi;nut_cracking;nut;2;0;
Sangaredi;stone_throwing;communication;1;0;
Sangaredi;termite_eating_without_tools;termite;0;0;
Sangaredi;termite_fishing_with_tool;termite;1;0;
Sangaredi;underground_perforation_with_toolset;perforate honey/termites;2;0;
Sangaredi;water_dipping;water;1;0;
Sapo;accumulative_stone_throwing;communication;2;0;PanAf Data
Sapo;algae_fishing_with_tool;algae;1;0;"\Anderson et al. 1983 Chimpanzees of Sapo Forest, Liberia: Density, Nests, Tools and Meat-eating Primates 24: 594-601\"""""
Sapo;ant_dipping_with_tool;ant;1;0;
Sapo;ant_eating_without_tools;ant;0;0;
Sapo;ant_fishing_with_tool;ant;1;0;
Sapo;cave_use;thermoregulation;0;0;
Sapo;ground_nest;ground protection;0;0;
Sapo;honey_aerial_with_tool;honey;1;0;
Sapo;honey_aerial_with_toolset;honey;2;0;
Sapo;honey_eating_without_tools;honey;0;0;
Sapo;leaf_clipping;communication;1;0;
Sapo;leaf_cushion;ground protection;0;0;
Sapo;leaf_sponge;water;1;0;
Sapo;marrow_pick;vertebrates;1;0;
Sapo;nut_cracking;nut;2;1;
Sapo;stone_throwing;communication;1;0;
Sapo;termite_eating_without_tools;termite;0;0;
Sapo;termite_fishing_with_tool;termite;1;0;
Sapo;underground_perforation_with_toolset;perforate honey/termites;2;0;
Sapo;water_dipping;water;1;0;
Sobeya;accumulative_stone_throwing;communication;2;0;K?hl et al. 2016 Chimpanzee Accumulative Stone Throwing Scientific Reports 6: 22219
Sobeya;algae_fishing_with_tool;algae;1;1;
Sobeya;ant_dipping_with_tool;ant;1;0;
Sobeya;ant_eating_without_tools;ant;0;0;
Sobeya;ant_fishing_with_tool;ant;1;0;
Sobeya;cave_use;thermoregulation;0;0;
Sobeya;ground_nest;ground protection;0;0;
Sobeya;honey_aerial_with_tool;honey;1;0;
Sobeya;honey_aerial_with_toolset;honey;2;0;
Sobeya;honey_eating_without_tools;honey;0;0;
Sobeya;leaf_clipping;communication;1;0;
Sobeya;leaf_cushion;ground protection;0;0;
Sobeya;leaf_sponge;water;1;0;
Sobeya;marrow_pick;vertebrates;1;0;
Sobeya;nut_cracking;nut;2;0;
Sobeya;stone_throwing;communication;1;1;
Sobeya;termite_eating_without_tools;termite;0;0;
Sobeya;termite_fishing_with_tool;termite;1;1;
Sobeya;underground_perforation_with_toolset;perforate honey/termites;2;0;
Sobeya;water_dipping;water;1;0;
Tai;accumulative_stone_throwing;communication;2;0;"\Eckhardt et al. 2015 Spatial Cohesion of Adult Male Chimpanzees (Pan troglodytes verus) in Tai National Park, Cote d'Ivoire American Journal of Primatology 77: 125-134\"""""
Tai;algae_fishing_with_tool;algae;1;0;Tai Chimpanzee Project
Tai;ant_dipping_with_tool;ant;1;1;Tai Chimpanzee Project
Tai;ant_eating_without_tools;ant;0;1;K?hl et al. 2016 Chimpanzee Accumulative Stone Throwing Scientific Reports 6: 22219
Tai;ant_fishing_with_tool;ant;1;0;Luncz and Boesch 2015 The Extent of Cultural Variation Between Adjacent Chimpanzee (Pan troglodytes verus) Communities
Tai;cave_use;thermoregulation;0;0;Luncz and Boesch 2015 The Extent of Cultural Variation Between Adjacent Chimpanzee (Pan troglodytes verus) Communities
Tai;ground_nest;ground protection;0;0;
Tai;honey_aerial_with_tool;honey;1;1;"\Boesch 2012 Wild Cultures: A Comparison between Chimpanzee and Human Cultures. Cambridge University Press: Cambridge, UK.\"""""
Tai;honey_aerial_with_toolset;honey;2;0;
Tai;honey_eating_without_tools;honey;0;1;
Tai;leaf_clipping;communication;1;1;
Tai;leaf_cushion;ground protection;0;1;
Tai;leaf_sponge;water;1;1;
Tai;marrow_pick;vertebrates;1;1;
Tai;nut_cracking;nut;2;1;
Tai;stone_throwing;communication;1;1;
Tai;termite_eating_without_tools;termite;0;1;
Tai;termite_fishing_with_tool;termite;1;0;
Tai;underground_perforation_with_toolset;perforate honey/termites;2;0;
Tai;water_dipping;water;1;0;
